date_found,filing_accession,ticker,company,signal_type,n_insiders,total_usd,score
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
2026-09-03,0001213900-26-096450,NIVF,NewGenIvf Group Ltd,💰 CONVICTION,1,4163334.5,49.71664783212562
2026-09-03,0001213900-26-096450,NIVF,NewGenIvf Group Ltd,💰 CONVICTION,1,4163334.5,49.71664783212562
2026-09-03,0001213900-26-096450,NIVF,NewGenIvf Group Ltd,💰 CONVICTION,1,4163334.5,49.71664783212562
2026-09-03,0001213900-26-096450,NIVF,NewGenIvf Group Ltd,💰 CONVICTION,1,4163334.5,49.71664783212562
2026-09-03,0001193125-26-371418,WELL,WELLTOWER INC.,💰 CONVICTION,1,2407650.0,48.28956012279926
2026-09-03,0001193125-26-371418,WELL,WELLTOWER INC.,💰 CONVICTION,1,2407650.0,48.28956012279926
2026-09-03,0001193125-26-371418,WELL,WELLTOWER INC.,💰 CONVICTION,1,2407650.0,48.28956012279926
2026-09-03,0001193125-26-371418,WELL,WELLTOWER INC.,💰 CONVICTION,1,2407650.0,48.28956012279926
2026-09-03,0001104659-26-103344,RNAQ,Rainier Acquisition Corp,💰 CONVICTION,1,2000000.0,47.80617997398389
2026-09-03,0001104659-26-104746,RNAQ,Rainier Acquisition Corp,💰 CONVICTION,1,2000000.0,47.80617997398389
2026-09-03,0002035989-26-000078,AMRZ,Amrize Ltd,💰 CONVICTION,1,1274080.0,46.63118019029308
2026-09-03,0002035989-26-000078,AMRZ,Amrize Ltd,💰 CONVICTION,1,1274080.0,46.63118019029308
2026-09-03,0002035989-26-000078,AMRZ,Amrize Ltd,💰 CONVICTION,1,1274080.0,46.63118019029308
2026-09-03,0002035989-26-000078,AMRZ,Amrize Ltd,💰 CONVICTION,1,1274080.0,46.63118019029308
2026-09-03,0002035989-26-000078,AMRZ,Amrize Ltd,💰 CONVICTION,1,1274080.0,46.63118019029308
2026-09-03,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,329216.4,43.10488876942543
2026-09-03,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,329216.4,43.10488876942543
2026-09-03,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,329216.4,43.10488876942543
2026-09-03,0000912282-26-001201,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,329216.4,43.10488876942543
